user_id,days_since_last_login,assignments_submitted,discussions_participated,note_count,days_enrolled,is_dropout
2,0,5,2,2,18,0
3,20,0,0,0,12,1
4,3,4,3,2,40,0
5,17,1,0,1,30,1
6,1,5,5,5,50,0
7,9,4,1,2,25,0
8,24,4,2,3,27,0
9,9,6,4,3,45,0
10,27,3,5,5,17,0
11,22,3,4,4,21,0
12,29,1,0,0,14,1
13,3,5,5,5,53,0
14,1,2,1,3,60,0
15,18,0,0,1,22,1
16,4,3,2,2,35,0
17,25,0,0,0,10,1
18,8,4,3,2,40,0
19,30,1,0,0,12,1
20,7,5,3,3,28,0
21,15,2,2,2,33,0
22,19,1,0,1,18,1
23,5,6,5,4,55,0
24,2,3,3,2,32,0
25,21,1,1,0,16,1
26,10,4,2,3,48,0
27,17,0,0,1,20,1
